Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,Return_,Volatility_20_,Next_Return_,Label_,High_Low_Spread,Close_Open_Change,MA_5,MA_20,MA_50,Return_5,Return_10,day_of_week,month,is_month_end,is_quarter_end,vader_neg,vader_neu,vader_pos,vader_compound,finbert_positive,finbert_negative,finbert_neutral
2018-03-14,243.6894073486328,246.09709174693057,243.1317680950334,245.91121199573078,105895100,-0.005131440284914746,0.00965169628253263,-0.0010900771669940523,0,2.9653236518971653,-2.2218046470979687,244.93039245605468,241.84862365722657,242.84029846191407,0.009238550284512925,0.01343671844679406,2,3,0,0,0.155,0.669,0.176,0.8126,0.1691247969865799,0.02630673348903656,0.8045684695243835
2018-03-15,243.42376708984375,244.84888963252305,242.9192095257342,244.2027274666862,83433000,-0.0010900771669940523,0.009261742599294517,0.001084559537943397,1,1.929680106788851,-0.7789603768424627,245.08970947265624,242.08806533813475,242.95059051513672,0.003283165045313785,0.027269055678647014,3,3,0,0,0.18,0.711,0.109,-0.9552,0.048625458031892776,0.7314852476119995,0.21988928318023682
2018-03-16,243.68777465820312,244.74535683863414,243.63445346605235,243.954380618957,100343700,0.001084559537943397,0.008842231257438344,-0.013530472334872146,0,1.110903372581788,-0.26660596075387843,244.45738525390624,242.1884567260742,243.03606719970702,-0.012807894806139086,0.023109246389208193,4,3,0,0,0.157,0.734,0.108,-0.8173,0.07142128795385361,0.6207332015037537,0.3078455328941345
2018-03-19,240.39056396484375,243.86547253585832,238.72865706602394,242.93232466783832,109208400,-0.013530472334872146,0.009379184255782411,0.001700621978748984,1,5.136815469834374,-2.5417607029945657,243.22756958007812,242.12044296264648,243.03541809082031,-0.024941540074153834,-0.0022654833360439275,0,3,0,0,0.12,0.738,0.142,0.8176,0.07166321575641632,0.1325400024652481,0.795796811580658
2018-03-20,240.79937744140625,241.4392587401378,240.11504374371648,240.79048153728283,59757300,0.001700621978748984,0.009278613977333329,-0.0019193933373669037,0,1.3242149964213183,0.00889590412342045,242.39817810058594,242.14855194091797,243.01090087890626,-0.01693006511074735,-0.0030960127827867057,1,3,0,0,0.133,0.755,0.112,-0.9537,0.07617782056331635,0.14110401272773743,0.7827181220054626
2018-03-21,240.33718872070312,242.86115704637638,240.12390402665196,240.75488932765654,78709600,-0.0019193933373669037,0.00921460095446564,-0.02499666999730421,0,2.7372530197244203,-0.41770060695341726,241.727734375,242.21330490112305,242.96828857421875,-0.013756111373088298,-0.004644647615214992,2,3,0,0,0.134,0.757,0.108,-0.9476,0.28412914276123047,0.1951722502708435,0.520698606967926
2018-03-22,234.32955932617188,238.95090174563393,234.05403029834025,238.09773542724633,148785900,-0.02499666999730421,0.010804927646690289,-0.021315004953434302,0,4.896871447293677,-3.7681761010744594,239.9088928222656,241.9621841430664,242.7945462036133,-0.03735957204341245,-0.034199064639139576,3,3,0,0,0.138,0.733,0.129,-0.7121,0.01880287379026413,0.8897745013237,0.09142254292964935
2018-03-23,229.33482360839844,235.1026509084258,229.13930357921686,234.7738279324517,183534800,-0.021315004953434302,0.01094058549427142,0.02735925239161663,1,5.963347329208943,-5.439004324053258,237.03830261230468,241.27056961059571,242.5283462524414,-0.05889893766700505,-0.07095246107531183,4,3,0,0,0.138,0.736,0.126,-0.8364,0.1373627930879593,0.32123830914497375,0.5413988828659058
2018-03-26,235.6092529296875,235.89365069196427,230.5435500072418,232.96087674326745,141956100,0.02735925239161663,0.012493815342204166,-0.01701158638026523,0,5.350100684722463,2.6483761864200517,236.08204040527343,240.75149307250976,242.35222625732422,-0.019889761712342025,-0.044335220497682126,0,3,0,0,0.159,0.714,0.127,-0.991,0.06267205625772476,0.09026209264993668,0.847065806388855
2018-03-27,231.60116577148438,237.08457022779396,230.03700497355243,236.55135824819655,129941400,-0.01701158638026523,0.012730933732013954,-0.002954827228025647,0,7.047565254241533,-4.950192476712175,234.24239807128907,240.18558654785156,242.0640789794922,-0.038198652204406436,-0.054482011646190376,1,3,0,0,0.124,0.75,0.126,0.1189,0.05832603946328163,0.795703113079071,0.14597073197364807
